AFG	2008	2008	1
AHO	1988	1988	1
ALG	1984	2008	14
ANZ	1908	1912	29
ARG	1924	2008	239
ARM	1996	2008	9
AUS	1896	2008	1075
AUT	1896	2008	146
AZE	1996	2008	16
BAH	1956	2008	23
BAR	2000	2000	1
BDI	1996	1996	1
BEL	1900	2008	408
BER	1976	1976	1
BLR	1996	2008	92
BOH	1900	1908	7
BRA	1920	2008	372
BUL	1952	2008	331
BWI	1960	1960	5
CAN	1900	2008	592
CHI	1928	2008	33
CHN	1984	2008	679
CIV	1984	1984	1
CMR	1968	2008	22
COL	1972	2008	11
CRC	1988	2000	4
CRO	1992	2008	79
CUB	1900	2008	395
CZE	1996	2008	41
DEN	1896	2008	491
DJI	1988	1988	1
DOM	1984	2008	4
ECU	1996	2008	2
EGY	1928	2008	24
ERI	2004	2004	1
ESP	1900	2008	377
EST	1920	2008	37
ETH	1960	2008	38
EUA	1956	1964	260
EUN	1992	1992	223
FIN	1908	2008	451
FRA	1896	2008	1314
FRG	1968	1988	490
GBR	1896	2008	1594
GDR	1968	1988	825
GEO	1996	2008	18
GER	1896	2008	1211
GHA	1960	1992	16
GRE	1896	2008	145
GUY	1980	1980	1
HAI	1924	1928	8
HKG	1996	2004	3
HUN	1896	2008	1053
INA	1988	2008	35
IND	1900	2008	178
IOP	1992	1992	3
IRI	1948	2008	48
IRL	1928	2008	24
IRQ	1960	1960	1
ISL	1956	2008	17
ISR	1992	2008	7
ISV	1988	1988	1
ITA	1900	2008	1228
JAM	1948	2008	102
JPN	1920	2008	704
KAZ	1996	2008	39
KEN	1964	2008	81
KGZ	2000	2008	3
KOR	1948	2008	466
KSA	2000	2000	2
KUW	2000	2000	1
LAT	1932	2008	17
LIB	1952	1980	4
LTU	1992	2008	50
LUX	1920	1952	2
MAR	1960	2008	21
MAS	1992	2008	6
MDA	1996	2008	6
MEX	1932	2008	80
MGL	1968	2008	19
MKD	2000	2000	1
MOZ	1996	2000	2
MRI	2008	2008	1
NAM	1992	1996	4
NED	1900	2008	782
NGR	1964	2008	84
NIG	1972	1972	1
NOR	1900	2008	537
NZL	1920	2008	164
PAK	1956	1992	121
PAN	1948	2008	3
PAR	2004	2004	17
PER	1948	1992	15
PHI	1928	1996	9
POL	1924	2008	499
POR	1924	2008	31
PRK	1972	2008	52
PUR	1948	1996	6
QAT	1992	2000	2
ROU	1924	2008	624
RSA	1908	2008	97
RU1	1908	1912	17
RUS	1996	2008	638
SCG	2004	2004	14
SEN	1988	1988	1
SIN	1960	2008	4
SLO	1992	2008	21
SRB	2008	2008	15
SRI	1948	2000	2
SUD	2008	2008	1
SUI	1896	2008	376
SUR	1988	1992	2
SVK	1996	2008	29
SWE	1900	2008	1021
SYR	1984	2004	3
TAN	1980	1980	2
TCH	1920	1992	329
TGA	1996	1996	1
THA	1976	2008	21
TJK	2008	2008	2
TOG	2008	2008	1
TPE	1960	2008	42
TRI	1948	2008	20
TUN	1964	2008	7
TUR	1936	2008	82
UAE	2004	2004	1
UGA	1968	1996	6
UKR	1996	2008	148
URS	1952	1988	2049
URU	1924	2000	76
USA	1896	2008	4335
UZB	1996	2008	17
VEN	1952	2008	11
VIE	2000	2008	2
YUG	1924	2000	435
ZAM	1984	1996	2
ZIM	1980	2008	23
ZZX	1896	1904	48
